,0,1,2
125,Jan 29 13:12:01 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=46616 DF PROTO=TCP SPT=34963 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A02665A730000000001030300) 
126,Jan 29 13:12:04 myth sshd[12033]: Invalid user adrian from ,220.195.35.40,
127,Jan 29 13:12:08 myth sshd[12035]: Invalid user alexandru from ,220.195.35.40,
128,Jan 29 13:12:13 myth sshd[12037]: Invalid user anca from ,220.195.35.40,
129,Jan 29 13:12:17 myth sshd[12039]: Invalid user antica from ,220.195.35.40,
130,Jan 29 13:12:21 myth sshd[12041]: Invalid user cncp from ,220.195.35.40,
131,Jan 29 13:12:22 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=45202 DF PROTO=TCP SPT=49265 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A026662910000000001030300) 
132,Jan 29 13:12:25 myth sshd[12043]: Invalid user contabil from ,220.195.35.40,
133,Jan 29 13:12:29 myth sshd[12045]: Invalid user contempo from ,220.195.35.40,
134,Jan 29 13:12:33 myth sshd[12047]: Invalid user crisan from ,220.195.35.40,
135,Jan 29 13:12:37 myth sshd[12049]: Invalid user cristi from ,220.195.35.40,
136,Jan 29 13:12:41 myth sshd[12051]: Invalid user cristina from ,220.195.35.40,
137,Jan 29 13:12:42 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=36808 DF PROTO=TCP SPT=33564 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A02666A850000000001030300) 
138,Jan 29 13:12:45 myth sshd[12053]: Invalid user dana from ,220.195.35.40,
139,Jan 29 13:12:49 myth sshd[12055]: Invalid user david from ,220.195.35.40,
140,Jan 29 13:12:53 myth sshd[12057]: Invalid user dnp from ,220.195.35.40,
141,Jan 29 13:12:57 myth sshd[12059]: Invalid user doina from ,220.195.35.40,
142,Jan 29 13:13:01 myth sshd[12061]: Invalid user dorina from ,220.195.35.40,
143,Jan 29 13:13:02 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=45598 DF PROTO=TCP SPT=48517 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A026672420000000001030300) 
144,Jan 29 13:13:05 myth sshd[12063]: Invalid user ernest from ,220.195.35.40,
145,Jan 29 13:13:09 myth sshd[12065]: Invalid user florin from ,220.195.35.40,
146,Jan 29 13:13:13 myth sshd[12067]: Invalid user fotograf from ,220.195.35.40,
147,Jan 29 13:13:17 myth sshd[12069]: Invalid user haitac from ,220.195.35.40,
148,Jan 29 13:13:21 myth sshd[12077]: Invalid user ionita from ,220.195.35.40,
149,Jan 29 13:13:22 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=38901 DF PROTO=TCP SPT=33696 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A02667A190000000001030300) 
150,Jan 29 13:13:25 myth sshd[12079]: Invalid user ionut from ,220.195.35.40,
151,Jan 29 13:13:29 myth sshd[12081]: Invalid user ionutz from ,220.195.35.40,
152,Jan 29 13:13:33 myth sshd[12083]: Invalid user jurca from ,220.195.35.40,
153,Jan 29 13:13:37 myth sshd[12085]: Invalid user lucia from ,220.195.35.40,
154,Jan 29 13:13:41 myth sshd[12087]: Invalid user maria from ,220.195.35.40,
155,Jan 29 13:13:42 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=18800 DF PROTO=TCP SPT=45988 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A026681CA0000000001030300) 
156,Jan 29 13:13:45 myth sshd[12089]: Invalid user medie from ,220.195.35.40,
157,Jan 29 13:13:49 myth sshd[12091]: Invalid user moderna from ,220.195.35.40,
158,Jan 29 13:13:53 myth sshd[12093]: Invalid user moised from ,220.195.35.40,
159,Jan 29 13:13:58 myth sshd[12095]: Invalid user numis from ,220.195.35.40,
160,Jan 29 13:14:02 myth sshd[12097]: Invalid user oprea from ,220.195.35.40,
161,Jan 29 13:14:03 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=38092 DF PROTO=TCP SPT=59234 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A026689E70000000001030300) 
162,Jan 29 13:14:06 myth sshd[12099]: Invalid user paul from ,220.195.35.40,
163,Jan 29 13:14:10 myth sshd[12101]: Invalid user preist from ,220.195.35.40,
164,Jan 29 13:14:14 myth sshd[12103]: Invalid user radu from ,220.195.35.40,
165,Jan 29 13:14:18 myth sshd[12105]: Invalid user rodica from ,220.195.35.40,
166,Jan 29 13:14:21 myth sshd[12107]: Invalid user samba from ,220.195.35.40,
167,Jan 29 13:14:23 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=50337 DF PROTO=TCP SPT=43204 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0266919A0000000001030300) 
168,Jan 29 13:14:25 myth sshd[12109]: Invalid user sanda from ,220.195.35.40,
169,Jan 29 13:14:29 myth sshd[12111]: Invalid user secretar from ,220.195.35.40,
170,Jan 29 13:14:33 myth sshd[12113]: Invalid user simina from ,220.195.35.40,
171,Jan 29 13:14:37 myth sshd[12115]: Invalid user sorin from ,220.195.35.40,
172,Jan 29 13:14:41 myth sshd[12117]: Invalid user sport from ,220.195.35.40,
173,Jan 29 13:14:42 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=49709 DF PROTO=TCP SPT=56178 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0266995F0000000001030300) 
174,Jan 29 13:14:46 myth sshd[12119]: Invalid user personal from ,220.195.35.40,
175,Jan 29 13:14:50 myth sshd[12121]: Invalid user taz from ,220.195.35.40,
176,Jan 29 13:14:54 myth sshd[12123]: Invalid user teo from ,220.195.35.40,
177,Jan 29 13:14:58 myth sshd[12125]: Invalid user tina from ,220.195.35.40,
178,Jan 29 13:15:02 myth sshd[12127]: Invalid user webmasters from ,220.195.35.40,
179,Jan 29 13:15:03 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=5482 DF PROTO=TCP SPT=40200 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0266A1590000000001030300) 
180,Jan 29 13:15:06 myth sshd[12148]: Invalid user adi from ,220.195.35.40,
181,Jan 29 13:15:10 myth sshd[12150]: Invalid user alex from ,220.195.35.40,
182,Jan 29 13:15:14 myth sshd[12152]: Invalid user alina from ,220.195.35.40,
183,Jan 29 13:15:18 myth sshd[12154]: Invalid user anca from ,220.195.35.40,
184,Jan 29 13:15:22 myth sshd[12156]: Invalid user ancutza from ,220.195.35.40,
185,Jan 29 13:15:23 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=33193 DF PROTO=TCP SPT=53191 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0266A9190000000001030300) 
186,Jan 29 13:15:25 myth sshd[12158]: Invalid user arthur from ,220.195.35.40,
187,Jan 29 13:15:29 myth sshd[12160]: Invalid user aurelia from ,220.195.35.40,
188,Jan 29 13:15:33 myth sshd[12162]: Invalid user bogdan from ,220.195.35.40,
